file_type,count
incx,179227
pdf,68072
icml,65131
DIRECTORY,30666
inca,25036
indd,13674
xlsx,9748
icma,9287
(no extension),7811
au,7585
jpg,7456
idlk,6746
xls,4552
xml,3044
doc,3036
gif,2774
eps,2240
png,1584
docx,1432
avi,1357
html,974
bpl,722
tif,623
mp3,589
psd,584
auf,563
db4,466
id4,466
ps,449
exe,442
txt,429
dll,428
ai,384
otf,369
htz,328
wtf,300
download,246
tiff,228
bmap,217
afm,197
zip,182
htm,165
aup,149
css,149
qvd,144
m4v,138
rtf,136
rtp,134
christine,130
idml,106
mov,102
wma,98
indt,98
liz,91
ini,91
chris,81
jpeg,79
mp4,78
aiff,78
rtz,78
indl,77
bak,76
swf,72
js,71
htmz,68
pdz,58
ttf,56
jar,56
lnk,47
nd,47
page07,45
inct,43
page02,42
page04,42
page01,41
page06,40
ks0,40
dat,39
fil,39
page03,38
page05,38
log,37
nib,36
wav,36
1pa,36
page1,35
page08,35
fcp,34
qbb,34
csv,34
qbc,34
07,33
qbw,32
sys,32
xsl,32
xsz,32
tlx,29
sfp,28
php,27
abr,27
bmp,27
dsn,27
scpt,26
dtd,24
properties,24
loaded_0,24
plist,23
chm,22
lck,22
qpg,22
nikki,21
tlg,20
tmp,19
dylib,18
janet,18
iif,18
lim,18
qvt,18
ashley,17
afploc,17
jz,16
thumbnail,15
opinion,15
db,15
gazelle,15
sh0,14
yasia,13
ash,13
ppt,13
qxd,12
thm,12
11,12
des,12
xmz,12
strings,11
dfont,11
scr,11
qbp,11
cover,10
nicole,10
lst,10
ja,10
cfg,10
usa,10
bpw,10
qfn,10
old,10
pf,10
flj,10
clara,9
sijia,9
webloc,9
template,9
aleli,9
rae,9
ssproj,9
svg,9
aspx,9
pptx,9
09,8
10,8
09 dummy,8
sports,8
sit,8
ase,8
icns,8
jpg alias,8
jpg alias 2,8
library,8
lu,8
annie,8
page09,8
page10,8
page11,8
page12,8
sds,8
clx,8
wbm,8
flt,8
gen,8
cfx,8
adr,8
news assignments,7
feilisha,7
jpf,7
jpg alias 3,7
jenny,7
tracy,7
nancy,7
lastupdate,7
loaded_1,7
loaded_2,7
loaded_3,7
cfs,7
page8,6
 70,6
 71,6
 72,6
 73,6
 74,6
small,6
ashly assignments,6
2011,6
feilishachris,6
dropcap,6
11 puzzles,6
ods,6
dependency,6
webp,6
qbr,6
ico,6
qbot,6
bat,6
ocx,6
newdata,6
csz,6
bl4,6
xyz,6
sfl,6
mht,6
502,5
flats,5
dmg,5
jpg alias 4,5
jpg alias 5,5
rm,5
cassie,5
joyce,5
alexis,5
bin,5
edition,5
dbk4,5
ashx,5
liz assignments,4
katherine,4
jessie assignments,4
2019,4
1302,4
textclipping,4
pdf alias,4
tif alias,4
tif alias 2,4
tif alias 3,4
emily,4
cr2,4
xmp,4
nef,4
brad,4
gameday,4
06,4
tgz,4
manifest,4
dot,4
mythuan,4
test,4
inf,4
cnt,4
cpl,4
cp1250,4
cp1251,4
cp1253,4
cp1254,4
cp1256,4
cp1257,4
gb18030,4
hi,4
iw,4
ko,4
ru,4
th,4
zh,4
zh_tw,4
95,4
lib,4
opr,4
00y,4
00z,4
m88,4
m89,4
loaded_4,4
loaded_5,4
inds,3
arts,3
page4,3
page5,3
page6,3
thumb,3
color,3
1083,3
1096,3
1307,3
1309,3
1310,3
1311,3
1312,3
1313,3
chk,3
sh,3
news,3
pdf alias 2,3
doc alias,3
doc alias 2,3
grad,3
breakdown,3
samantha,3
ashmily,3
ashmilyindd,3
ashamyem,3
emily assignments,3
janet-tiffany,3
tiffany,3
ashnik assignments,3
ashl assignments,3
christopher,3
frontpage,3
v assignments,3
ashlyn assignments,3
aleli&chris,3
miuson,3
opinion2,3
shannon,3
java,3
tpl,3
qcp,3
sxc,3
ds_store@?,3
upd,3
target,3
08,2
page12pdf,2
kather assignments,2
page7,2
page2,2
page3,2
09 dummy indd,2
elaine,2
3,2
10 dummy,2
webarchive,2
part2,2
cwk,2
0,2
lockn,2
skindexinverted,2
data,2
1092,2
1093,2
1303,2
1314,2
1076,2
1301,2
crdownload,2
aco,2
prefs,2
banner,2
dmg alias,2
dmg alias 2,2
psd alias,2
psd alias 2,2
psd alias 3,2
docx alias,2
docx alias 2,2
jpg alias 6,2
jtseng,2
com bookmark,2
fills,2
original,2
2,2
review,2
joboptions,2
 bender?,2
phoenixdelman,2
14,2
article,2
page07eps,2
robin,2
sam,2
kristie,2
murray,2
henrytrotta,2
solley,2
taylorrj,2
bw,2
matt,2
amanda,2
gerlad,2
_budget,2
_chancellor,2
_fees,2
_flashmob,2
jcouncilanalysis,2
pdf@?,2
jpg??????????,2
drv,2
scd,2
chw,2
il,2
ximt,2
crt,2
fam,2
bbf,2
tlb,2
itb,2
cur,2
hlp,2
daz,2
giz,2
mpr,2
xft,2
qmd,2
ms950_hkscs,2
98,2
zh_tw_ms950_hkscs,2
gm,2
policy,2
security,2
dlz,2
xlt,2
qbl,2
nt,2
hal,2
rav,2
m90,2
m91,2
m92,2
m93,2
m94,2
m80,2
m81,2
m82,2
m83,2
m84,2
m85,2
m86,2
m07,2
m06,2
hpp,2
616,2
617,2
618,2
plc,2
gid,2
oxps,2
xps,2
avery,2
mdb,2
pfo,2
2020,1
cover22,1
cover2,1
012609,1
christine%20,1
020209,1
020909,1
thomas,1
022309,1
leah%2e,1
030209,1
coverthumbnail,1
030909,1
031609,1
aif,1
042309,1
christine copy,1
christine copy 2,1
campusmunch%2e,1
page11pdf,1
image,1
051109,1
051409,1
051809,1
